drug rxcui code,class code,drug,class
1009216,8814,Epoprostenol,Antihypertensive Agents
1009216,8814,Epoprostenol,Platelet Aggregation Inhibitors
1009216,8814,Epoprostenol,Platelet aggregation inhibitors excl. heparin
1010035,6387,Lidocaine,"Anesthetics, Local"
1010035,6387,Lidocaine,Anti-Arrhythmia Agents
1010035,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1010035,6387,Lidocaine,"Anesthetics, Local"
1010035,6387,Lidocaine,Anti-Arrhythmia Agents
1010035,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1010035,6387,Lidocaine,"Antiarrhythmics, class Ib"
1010035,6387,Lidocaine,Local anesthetics
1010035,6387,Lidocaine,Anesthetics for topical use
1010035,6387,Lidocaine,Amides
1010035,6387,Lidocaine,"Anesthetics, local"
1010035,6387,Lidocaine,Local anesthetics
1010035,6387,Lidocaine,Analgesics and anesthetics
1010673,6387,Lidocaine,"Anesthetics, Local"
1010673,6387,Lidocaine,Anti-Arrhythmia Agents
1010673,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1010673,6387,Lidocaine,"Anesthetics, Local"
1010673,6387,Lidocaine,Anti-Arrhythmia Agents
1010673,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1010673,6387,Lidocaine,"Antiarrhythmics, class Ib"
1010673,6387,Lidocaine,Local anesthetics
1010673,6387,Lidocaine,Anesthetics for topical use
1010673,6387,Lidocaine,Amides
1010673,6387,Lidocaine,"Anesthetics, local"
1010673,6387,Lidocaine,Local anesthetics
1010673,6387,Lidocaine,Analgesics and anesthetics
1010739,6387,Lidocaine,"Anesthetics, Local"
1010739,6387,Lidocaine,Anti-Arrhythmia Agents
1010739,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1010739,6387,Lidocaine,"Anesthetics, Local"
1010739,6387,Lidocaine,Anti-Arrhythmia Agents
1010739,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1010739,6387,Lidocaine,"Antiarrhythmics, class Ib"
1010739,6387,Lidocaine,Local anesthetics
1010739,6387,Lidocaine,Anesthetics for topical use
1010739,6387,Lidocaine,Amides
1010739,6387,Lidocaine,"Anesthetics, local"
1010739,6387,Lidocaine,Local anesthetics
1010739,6387,Lidocaine,Analgesics and anesthetics
1010755,3992,Epinephrine,"Anesthetics, Local"
1010755,3992,Epinephrine,Anti-Arrhythmia Agents
1010755,3992,Epinephrine,Voltage-Gated Sodium Channel Blockers
1010755,3992,Epinephrine,Adrenergic alpha-Agonists
1010755,3992,Epinephrine,Adrenergic beta-Agonists
1010755,3992,Epinephrine,Bronchodilator Agents
1010755,3992,Epinephrine,Mydriatics
1010755,3992,Epinephrine,Sympathomimetics
1010755,3992,Epinephrine,Vasoconstrictor Agents
1010755,3992,Epinephrine,Other agents for local oral treatment
1010755,3992,Epinephrine,Local hemostatics
1010755,3992,Epinephrine,Adrenergic and dopaminergic agents
1010755,3992,Epinephrine,"Sympathomimetics, plain"
